x,y,latent,bandcontrast,cluster
20,190,0.00028520782,161.0,0
21,190,-0.00022211473,163.0,0
22,190,3.358553e-05,160.0,0
23,190,-4.5020075e-05,161.0,0
24,190,-3.662135e-06,161.0,0
25,190,-2.8778682e-05,159.0,0
26,190,-8.207484e-05,151.0,0
27,190,0.00024214329,64.0,1
28,190,0.00014686718,65.0,1
29,190,0.0004552661,72.0,1
30,190,-5.6840014e-05,89.0,2
31,190,0.00035145675,91.0,2
32,190,0.00040287658,101.0,2
33,190,0.00023716543,96.0,2
34,190,0.00019049708,86.0,2
35,190,0.00037243078,94.0,2
36,190,0.00050961465,85.0,2
37,190,0.00020833674,73.0,1
38,190,0.00011154171,75.0,1
39,190,0.00043004128,66.0,1
40,190,0.00044380053,50.0,1
41,190,,43.0,-1
42,190,,35.0,-1
43,190,,31.0,-1
44,190,,43.0,-1
45,190,0.000103681756,62.0,1
46,190,4.93119e-05,61.0,1
47,190,-0.00012572372,70.0,1
48,190,-1.2333039e-06,88.0,2
49,190,0.00022994244,108.0,2
50,190,-3.1270436e-05,88.0,2
51,190,0.00018939219,90.0,2
52,190,8.131779e-05,89.0,2
53,190,0.00058831327,82.0,1
54,190,0.00013319869,73.0,1
55,190,0.00016331358,66.0,1
56,190,8.662965e-05,92.0,2
57,190,0.00017237087,106.0,2
58,190,0.0002221145,120.0,2
59,190,9.65682e-05,114.0,2
60,190,7.0121605e-06,118.0,2
61,190,0.00019088958,104.0,2
62,190,-0.00035003416,105.0,2
63,190,0.00025493448,92.0,2
64,190,0.00014998426,86.0,2
65,190,7.9222315e-05,86.0,2
66,190,0.00037252088,75.0,1
67,190,0.0002692705,62.0,1
68,190,4.38976e-05,82.0,1
69,190,-7.1618764e-05,89.0,2
70,190,0.0001460812,81.0,1
71,190,0.00025813573,69.0,1
72,190,3.710395e-05,51.0,1
73,190,0.0002493093,47.0,1
74,190,0.00032529904,61.0,1
75,190,9.3364506e-05,62.0,1
76,190,0.00056350854,74.0,1
77,190,0.00030574476,79.0,1
78,190,0.0005955173,76.0,1
79,190,-6.84135e-05,82.0,1
80,190,0.00042144366,52.0,1
81,190,,42.0,-1
82,190,0.00035193405,61.0,1
83,190,0.00024400925,76.0,1
84,190,0.00043245713,79.0,1
85,190,0.0006234484,80.0,1
86,190,0.00012206042,62.0,1
87,190,,40.0,-1
88,190,,40.0,-1
89,190,,35.0,-1
20,191,-0.00011861278,158.0,0
21,191,2.64736e-05,160.0,0
22,191,-0.00012850366,159.0,0
23,191,-0.00010903581,160.0,0
24,191,-7.175421e-05,164.0,0
25,191,0.00017679652,164.0,0
26,191,-0.00012506405,160.0,0
27,191,0.00018192461,107.0,2
28,191,0.00044068263,58.0,1
29,191,0.00060957344,76.0,1
30,191,-1.8346473e-05,99.0,2
31,191,-0.00012986077,103.0,2
32,191,0.00045526575,103.0,2
33,191,0.00022664649,100.0,2
34,191,0.00034153927,111.0,2
35,191,0.00070541434,93.0,2
36,191,0.00039364386,96.0,2
37,191,0.0005782753,86.0,2
38,191,-5.8866048e-05,78.0,1
39,191,0.00041272445,70.0,1
40,191,0.00034589448,51.0,1
41,191,,43.0,-1
42,191,,39.0,-1
43,191,0.00026705378,46.0,1
44,191,0.00022606854,51.0,1
45,191,0.0003789005,59.0,1
46,191,0.00042809,64.0,1
47,191,-0.00010497996,69.0,1
48,191,0.00025889237,72.0,1
49,191,4.2510568e-05,94.0,2
50,191,-1.3675308e-06,85.0,2
51,191,0.00027596473,81.0,1
52,191,0.00021504064,71.0,1
53,191,0.0002077638,74.0,1
54,191,0.0003570317,66.0,1
55,191,-5.5684417e-05,69.0,1
56,191,0.00011772767,81.0,1
57,191,0.00019938179,103.0,2
58,191,8.924905e-05,105.0,2
59,191,3.0440686e-05,115.0,2
60,191,0.00021452294,112.0,2
61,191,0.00012438922,107.0,2
62,191,0.00028342695,110.0,2
63,191,-4.8022135e-05,112.0,2
64,191,-0.000103120576,99.0,2
65,191,-7.391197e-05,87.0,2
66,191,0.00020397356,72.0,1
67,191,8.132e-05,61.0,1
68,191,-2.5457819e-05,76.0,1
69,191,0.0003191796,83.0,1
70,191,3.0676078e-05,90.0,2
71,191,0.00015728129,80.0,1
72,191,6.132334e-05,55.0,1
73,191,0.00038428727,52.0,1
74,191,0.00030576595,54.0,1
75,191,0.00015283073,56.0,1
76,191,0.0003285135,48.0,1
77,191,0.00052112923,59.0,1
78,191,0.0001802725,68.0,1
79,191,0.000121582125,65.0,1
80,191,0.00025114877,60.0,1
81,191,,45.0,-1
82,191,0.00035911798,56.0,1
83,191,0.00023437676,73.0,1
84,191,0.00014016515,87.0,2
85,191,0.00059353805,83.0,1
86,191,0.0003799497,83.0,1
87,191,0.00051193783,48.0,1
88,191,,44.0,-1
89,191,,33.0,-1
20,192,-3.0064664e-05,159.0,0
21,192,9.861833e-06,161.0,0
22,192,-0.00017952296,161.0,0
23,192,-0.00010178372,161.0,0
24,192,1.0408636e-05,163.0,0
25,192,-4.505244e-05,161.0,0
26,192,-0.00013375911,163.0,0
27,192,2.4893146e-05,131.0,0
28,192,7.522071e-05,56.0,1
29,192,0.00038128102,75.0,1
30,192,0.00017793017,87.0,2
31,192,0.00019994203,96.0,2
32,192,0.0004335239,96.0,2
33,192,0.000256832,105.0,2
34,192,0.00016944634,103.0,2
35,192,0.00035366445,103.0,2
36,192,9.095771e-05,109.0,2
37,192,0.00015143247,91.0,2
38,192,0.00041716418,91.0,2
39,192,0.00037233694,72.0,1
40,192,0.00021246623,74.0,1
41,192,0.00039015984,60.0,1
42,192,0.00033074035,52.0,1
43,192,,45.0,-1
44,192,0.00040692074,61.0,1
45,192,0.00044203893,51.0,1
46,192,-1.28732645e-05,62.0,1
47,192,9.243749e-05,76.0,1
48,192,0.00025959592,72.0,1
49,192,0.00022978085,79.0,1
50,192,0.00020026171,79.0,1
51,192,0.0003548797,67.0,1
52,192,0.00022423017,73.0,1
53,192,0.00020926504,71.0,1
54,192,0.00013833126,54.0,1
55,192,0.000353435,56.0,1
56,192,0.00019048926,78.0,1
57,192,0.00010175235,97.0,2
58,192,-0.00015420275,99.0,2
59,192,8.084072e-05,108.0,2
60,192,0.0005011357,93.0,2
61,192,6.825442e-05,103.0,2
62,192,0.0002993862,108.0,2
63,192,-0.00025251892,106.0,2
64,192,0.00016423705,86.0,2
65,192,0.00019323081,77.0,1
66,192,0.00026047003,62.0,1
67,192,0.00020101666,46.0,1
68,192,0.0001703449,60.0,1
69,192,-4.5510416e-05,77.0,1
70,192,6.691483e-05,75.0,1
71,192,-5.023909e-05,65.0,1
72,192,0.00032832654,49.0,1
73,192,-7.696409e-05,52.0,1
