x,y,latent,bandcontrast,cluster
350,70,-7.249368e-05,178.0,6
351,70,5.051837e-05,181.0,6
352,70,-5.620293e-05,186.0,6
353,70,-3.4430006e-05,189.0,6
354,70,-2.4041161e-05,187.0,6
355,70,4.5183755e-05,190.0,6
356,70,-4.447013e-05,192.0,6
357,70,0.00015131437,200.0,6
358,70,0.00029582094,197.0,6
359,70,-0.00018908962,197.0,6
360,70,0.0001729175,199.0,6
361,70,8.2375016e-05,202.0,6
362,70,-0.00014891021,200.0,6
363,70,6.4282794e-05,199.0,6
364,70,8.9069305e-05,205.0,6
365,70,0.00021175138,202.0,6
366,70,0.00010997162,199.0,6
367,70,0.0001178275,204.0,6
368,70,9.657774e-05,196.0,6
369,70,0.0003080903,193.0,6
370,70,5.490909e-05,194.0,6
371,70,0.00017556828,190.0,6
372,70,6.446586e-05,190.0,6
373,70,-2.6362715e-05,184.0,6
374,70,0.00025696,183.0,6
375,70,0.000278669,178.0,6
376,70,4.791253e-05,168.0,3
377,70,0.0001678429,156.0,3
378,70,4.932325e-05,146.0,0
379,70,-6.4263004e-05,133.0,4
380,70,-0.00010316196,129.0,4
381,70,-0.00012679386,124.0,4
382,70,-7.401657e-05,127.0,4
383,70,-0.00012898113,161.0,3
384,70,-0.00020107551,140.0,0
385,70,-0.00016345765,162.0,3
386,70,-9.623176e-05,139.0,0
387,70,-5.5452343e-05,141.0,0
388,70,-5.6309393e-05,139.0,0
389,70,-0.00012333406,142.0,0
390,70,-3.4145778e-06,140.0,0
391,70,0.00029735686,140.0,0
392,70,-0.00018929035,139.0,0
393,70,-0.00010903779,141.0,0
394,70,-0.00013003047,142.0,0
395,70,1.7348444e-05,139.0,0
396,70,-0.00011950324,139.0,0
397,70,-5.0794508e-05,137.0,0
398,70,0.00010816706,138.0,0
399,70,0.000114477996,140.0,0
400,70,4.8747926e-05,138.0,0
401,70,1.01593905e-05,140.0,0
402,70,-0.00022884208,141.0,0
403,70,7.800874e-06,140.0,0
404,70,-0.0002097261,141.0,0
405,70,-3.2221957e-05,140.0,0
406,70,-0.00014418975,143.0,0
407,70,-0.00014120346,142.0,0
408,70,-0.00018166262,141.0,0
409,70,8.016883e-05,131.0,4
410,70,3.810163e-05,105.0,2
411,70,3.3833086e-05,81.0,1
412,70,0.00042443094,64.0,5
413,70,0.00011508376,74.0,1
414,70,0.00032023102,77.0,1
415,70,-0.00018706304,59.0,5
416,70,0.0004426019,78.0,1
417,70,7.308647e-05,113.0,4
418,70,-0.00020334672,130.0,4
419,70,-0.000105983636,142.0,0
350,71,2.7091475e-05,173.0,6
351,71,-3.503915e-05,178.0,6
352,71,-6.613496e-06,184.0,6
353,71,2.2105116e-05,191.0,6
354,71,0.00019565813,187.0,6
355,71,3.552914e-05,186.0,6
356,71,0.00027348706,202.0,6
357,71,0.00016597402,195.0,6
358,71,1.9190775e-05,199.0,6
359,71,5.888287e-07,200.0,6
360,71,0.00027793454,199.0,6
361,71,-2.60066e-06,199.0,6
362,71,1.0383432e-05,195.0,6
363,71,9.116036e-05,202.0,6
364,71,7.0405076e-05,201.0,6
365,71,-9.680522e-05,202.0,6
366,71,5.9171056e-05,202.0,6
367,71,-0.00020509516,200.0,6
368,71,9.8959834e-05,194.0,6
369,71,0.0001684546,194.0,6
370,71,0.00036819995,193.0,6
371,71,-6.2231324e-05,187.0,6
372,71,8.9056906e-05,184.0,6
373,71,-1.6984297e-05,179.0,6
374,71,0.0001100736,178.0,6
375,71,1.6448495e-05,179.0,6
376,71,0.000110995024,160.0,3
377,71,0.00014043844,141.0,0
378,71,0.00010115403,137.0,0
379,71,0.00010503078,127.0,4
