,0,1
"(20, 5)",0.5071889,0.39317927
"(20, 6)",0.60795724,0.39616266
"(20, 7)",0.5876723,0.38753787
"(20, 8)",0.38029408,0.6146485
"(20, 9)",0.4853466,0.5322571
"(20, 10)",0.46701726,0.58279246
"(20, 11)",0.5990241,0.42617476
"(20, 12)",0.6744997,0.43760952
"(20, 13)",0.60255706,0.35408056
"(20, 14)",0.576502,0.32688975
"(20, 15)",0.5027275,0.48208508
"(20, 16)",0.33295056,0.6799541
"(20, 17)",0.26749754,0.689564
"(20, 18)",0.20158218,0.706036
"(20, 19)",0.39626235,0.6664758
"(20, 20)",0.29048955,0.7533905
"(20, 21)",0.21684843,0.8823811
"(20, 22)",0.13395543,0.7799407
"(20, 23)",0.17376325,0.8561731
"(20, 24)",0.18895678,0.7721407
"(20, 25)",0.20489791,0.8199066
"(20, 26)",0.19536804,0.78013283
"(20, 27)",0.25613338,0.80966115
"(20, 28)",0.22598128,0.7857397
"(20, 29)",0.29391053,0.751144
"(20, 30)",0.015969228,0.9514504
"(20, 31)",0.2327866,0.7990647
"(20, 32)",0.4601797,0.5042943
"(20, 33)",0.616197,0.3730562
"(20, 34)",0.7322492,0.34880328
"(20, 35)",0.5312452,0.48101652
"(21, 5)",0.7048262,0.35387874
"(21, 6)",0.61222947,0.34798566
"(21, 7)",0.7263187,0.3370332
"(21, 8)",0.48240837,0.4810523
"(21, 9)",0.4634942,0.5811973
"(21, 10)",0.5781392,0.41521585
"(21, 11)",0.40290713,0.5519806
"(21, 12)",0.53559625,0.38459256
"(21, 13)",0.6198781,0.41462275
"(21, 14)",0.57873714,0.37798205
"(21, 15)",0.5285207,0.49066326
"(21, 16)",0.33773842,0.67286307
"(21, 17)",0.29350704,0.70834607
"(21, 18)",0.16337535,0.85679394
"(21, 19)",0.19908924,0.80955267
"(21, 20)",0.18595621,0.8567451
"(21, 21)",0.22970755,0.8795298
"(21, 22)",0.21725652,0.8126073
"(21, 23)",0.28366366,0.74320066
"(21, 24)",0.12686166,0.8184895
"(21, 25)",0.22158708,0.7891812
